index,date,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
0,2023-10-1,96,88,83,75,81,80,79,82,77,58,37,8,0,-2,-1,1,58,93,112,121,121,107,99,93
0,2023-10-2,88,87,87,86,89,93,116,134,135,119,98,86,84,82,82,84,99,124,186,228,149,112,100,93
0,2023-10-3,91,88,67,29,11,5,6,33,12,3,1,2,2,1,0,0,0,5,15,11,5,4,3,1
0,2023-10-4,0,0,0,0,0,0,1,4,5,4,3,2,1,1,1,1,2,3,4,2,1,0,0,0
0,2023-10-5,0,0,0,0,0,0,3,5,9,7,7,6,5,5,5,5,59,93,165,233,130,102,94,88
0,2023-10-6,81,51,10,3,3,4,5,13,18,11,9,6,5,1,1,2,2,3,3,2,1,0,0,-1
0,2023-10-7,-2,-2,-2,-2,-2,-1,-1,0,1,9,19,18,10,0,1,21,57,81,95,102,77,36,26,25
0,2023-10-8,27,26,27,49,67,72,78,93,95,94,81,71,66,51,51,66,83,106,126,152,123,103,97,90
0,2023-10-9,85,82,77,72,70,74,90,104,118,113,104,98,92,94,98,102,105,121,176,207,172,124,112,105
0,2023-10-10,97,94,93,93,91,103,121,188,185,123,108,97,88,65,45,39,46,42,25,18,14,4,2,1
0,2023-10-11,3,1,0,0,0,0,2,9,14,12,8,1,0,0,0,0,7,13,14,14,13,9,6,5
0,2023-10-12,4,0,1,0,5,6,15,22,27,25,24,23,24,24,28,27,61,135,158,206,141,121,115,102
0,2023-10-13,116,107,100,95,93,89,49,48,48,45,43,32,24,7,4,4,4,3,11,16,14,5,0,-1
0,2023-10-14,0,-2,-1,-2,-2,-2,-1,0,5,1,0,0,-2,-2,-2,0,0,0,2,2,0,0,0,0
0,2023-10-15,0,0,0,0,0,0,0,0,2,1,2,0,-1,-1,-2,0,1,29,31,33,33,33,34,34
0,2023-10-16,37,35,36,37,40,44,51,57,85,75,57,55,55,56,60,109,130,156,197,224,149,135,126,111
0,2023-10-17,119,106,101,98,98,106,124,151,175,149,126,106,98,70,52,71,111,130,149,151,120,112,101,89
0,2023-10-18,50,59,54,46,40,45,118,156,148,115,84,72,65,60,61,62,70,96,98,49,45,36,33,27
0,2023-10-19,16,3,2,2,2,10,15,29,33,33,32,32,29,30,28,27,27,28,28,19,14,10,8,6
0,2023-10-20,6,6,6,5,5,8,9,18,22,18,13,13,10,9,9,12,16,18,35,33,32,32,32,31
0,2023-10-21,39,35,35,32,33,33,36,48,47,49,42,29,19,9,12,26,57,87,62,57,47,47,45,37
0,2023-10-22,37,28,17,15,17,32,28,53,49,49,48,45,42,27,30,48,54,57,56,55,52,51,50,49
0,2023-10-23,93,63,75,63,70,78,126,162,185,141,119,102,95,96,100,117,129,145,154,145,119,97,101,87
0,2023-10-24,95,91,88,83,84,71,93,108,93,64,66,60,57,56,58,56,56,58,58,57,56,53,55,54
0,2023-10-25,50,50,49,49,50,50,53,65,99,108,116,116,110,108,116,123,62,84,84,62,58,107,96,82
0,2023-10-26,41,55,55,57,57,58,65,63,65,66,66,69,69,67,65,91,103,130,141,141,122,108,105,88
0,2023-10-27,98,91,89,89,92,98,114,130,144,142,104,104,114,102,95,100,106,118,130,131,113,93,90,87
0,2023-10-28,70,64,60,51,55,56,60,69,83,84,81,65,65,63,68,73,82,115,136,86,64,58,55,44
0,2023-10-29,13,1,0,0,0,0,0,0,0,0,0,0,0,1,9,37,72,78,72,63,58,50,48,36
0,2023-10-30,17,11,11,10,14,23,75,74,76,72,69,67,66,68,76,83,92,106,97,83,75,84,79,83
0,2023-10-31,80,74,67,60,58,65,78,100,101,94,87,95,95,91,98,110,126,151,160,143,117,108,98,89
