time,count,mean,std,min,25_percent,50_percent,75_percent,max
0,1.0,0.39,,0.39,0.39,0.39,0.39,0.39
1,1.0,0.35,,0.35,0.35,0.35,0.35,0.35
2,1.0,0.35,,0.35,0.35,0.35,0.35,0.35
3,1.0,0.32,,0.32,0.32,0.32,0.32,0.32
4,1.0,0.33,,0.33,0.33,0.33,0.33,0.33
5,1.0,0.33,,0.33,0.33,0.33,0.33,0.33
6,1.0,0.36,,0.36,0.36,0.36,0.36,0.36
7,1.0,0.48,,0.48,0.48,0.48,0.48,0.48
8,1.0,0.47,,0.47,0.47,0.47,0.47,0.47
9,1.0,0.49,,0.49,0.49,0.49,0.49,0.49
10,1.0,0.42,,0.42,0.42,0.42,0.42,0.42
11,1.0,0.29,,0.29,0.29,0.29,0.29,0.29
12,1.0,0.19,,0.19,0.19,0.19,0.19,0.19
13,1.0,0.09,,0.09,0.09,0.09,0.09,0.09
14,1.0,0.12,,0.12,0.12,0.12,0.12,0.12
15,1.0,0.26,,0.26,0.26,0.26,0.26,0.26
16,1.0,0.57,,0.57,0.57,0.57,0.57,0.57
17,1.0,0.87,,0.87,0.87,0.87,0.87,0.87
18,1.0,0.62,,0.62,0.62,0.62,0.62,0.62
19,1.0,0.57,,0.57,0.57,0.57,0.57,0.57
20,1.0,0.47,,0.47,0.47,0.47,0.47,0.47
21,1.0,0.47,,0.47,0.47,0.47,0.47,0.47
22,1.0,0.45,,0.45,0.45,0.45,0.45,0.45
23,1.0,0.37,,0.37,0.37,0.37,0.37,0.37
