tph,transactions,gas_usage,estimated_ethereum_price
0,0,0,0
1,840,102432936,192
2,1680,204865872,408
3,2520,307298808,600
4,3360,409731744,816
5,4200,512164680,1032
6,5040,614597616,1224
7,5880,717030552,1440
8,6720,819463488,1632
9,7560,921896424,1848
10,8400,1024329360,2064
11,9240,1126762296,2256
12,10080,1229195232,2472
13,10920,1331628168,2688
14,11760,1434061104,2880
15,12600,1536494040,3096
16,13440,1638926976,3288
17,14280,1741359912,3504
18,15120,1843792848,3720
19,15960,1946225784,3912
20,16800,2048658720,4128
21,17640,2151091656,4320
22,18480,2253524592,4536
23,19320,2355957528,4752
24,20160,2458390464,4944
25,21000,2560823400,5160
26,21840,2663256336,5376
27,22680,2765689272,5568
28,23520,2868122208,5784
29,24360,2970555144,5976
30,25200,3072988080,6192
31,26040,3175421016,6408
32,26880,3277853952,6600
33,27720,3380286888,6816
34,28560,3482719824,7008
35,29400,3585152760,7224
36,30240,3687585696,7440
37,31080,3790018632,7632
38,31920,3892451568,7848
39,32760,3994884504,8064
40,33600,4097317440,8256
41,34440,4199750376,8472
42,35280,4302183312,8664
43,36120,4404616248,8880
44,36960,4507049184,9096
45,37800,4609482120,9288
46,38640,4711915056,9504
47,39480,4814347992,9720
48,40320,4916780928,9912
49,41160,5019213864,10128
50,42000,5121646800,10320
51,42840,5224079736,10536
52,43680,5326512672,10752
53,44520,5428945608,10944
54,45360,5531378544,11160
55,46200,5633811480,11352
56,47040,5736244416,11568
57,47880,5838677352,11784
58,48720,5941110288,11976
59,49560,6043543224,12192
60,50400,6145976160,12408
